Subject,Marks,Score
Environmental Studies,33,8
Environmental Studies,27,7
Environmental Studies,30,8
Environmental Studies,31,8
Environmental Studies,33,8
Environmental Studies,31,8
Environmental Studies,36,9
Environmental Studies,30,8
Environmental Studies,37,9
Environmental Studies,35,9
Environmental Studies,36,9
Environmental Studies,27,7
Environmental Studies,30,8
Environmental Studies,32,8
Programming with JAVA,33,9
Programming with JAVA,26,7
Programming with JAVA,35,9
Programming with JAVA,33,8
Programming with JAVA,29,7
Programming with JAVA,21,8
Programming with JAVA,35,9
Programming with JAVA,25,7
Programming with JAVA,32,8
Programming with JAVA,37,9
Programming with JAVA,31,8
Programming with JAVA,24,6
Programming with JAVA,31,8
Programming with JAVA,32,8
Programming with JAVA,36,9
Programming with JAVA,31,8
Programming with JAVA,29,7
Programming with JAVA,31,8
Programming with JAVA,33,8
Programming with JAVA,36,9
Programming with JAVA,30,8
Programming with JAVA,33,8
Programming with JAVA,26,7
Programming with JAVA,36,9
Programming with JAVA,36,9
Programming with JAVA,35,9
Programming with JAVA,32,8
Programming with JAVA,26,7
Programming with JAVA,22,8
Programming with JAVA,31,8
Programming with JAVA,32,8
Programming with JAVA,24,8
Programming with JAVA,36,9
Programming with JAVA,35,9
Programming with JAVA,33,8
Programming with JAVA,32,8
Programming with JAVA,26,7
Programming with JAVA,30,8
Programming with JAVA,36,9
Programming with JAVA,35,9
Programming with JAVA,33,8
Programming with JAVA,32,8
Programming with JAVA,33,8
Programming with JAVA,35,9
Programming with JAVA,35,9
Programming with JAVA,33,8
Programming with JAVA,27,7
Programming with JAVA,30,8
Programming with JAVA,31,8
Programming with JAVA,33,8
Programming with JAVA,31,8
Programming with JAVA,36,9
Programming with JAVA,30,8
Programming with JAVA,37,9
Programming with JAVA,35,9
Programming with JAVA,36,9
Programming with JAVA,27,7
Programming with JAVA,30,8
Programming with JAVA,32,8
Operating Systems,28,8
Operating Systems,25,7
Operating Systems,31,8
Operating Systems,25,7
Operating Systems,19,5
Operating Systems,31,8
Operating Systems,32,8
Operating Systems,25,7
Operating Systems,26,7
Operating Systems,35,9
Operating Systems,23,6
Operating Systems,18,6
Operating Systems,35,9
Operating Systems,26,8
Operating Systems,25,7
Operating Systems,26,7
Operating Systems,26,7
Operating Systems,18,4
Operating Systems,34,9
Operating Systems,25,7
Operating Systems,31,8
Operating Systems,28,7
Operating Systems,29,7
Operating Systems,35,9
Operating Systems,36,9
Operating Systems,34,9
Operating Systems,20,5
Operating Systems,20,6
Operating Systems,17,5
Operating Systems,33,8
Operating Systems,27,7
Operating Systems,23,6
Operating Systems,24,7
Operating Systems,32,8
Operating Systems,27,7
Operating Systems,29,7
Operating Systems,24,6
Operating Systems,18,4
Operating Systems,30,8
Operating Systems,32,8
Operating Systems,29,7
Operating Systems,19,6
Operating Systems,20,7
Operating Systems,32,8
Operating Systems,27,7
Operating Systems,22,6
Operating Systems,20,7
Operating Systems,20,5
Operating Systems,22,6
Operating Systems,36,9
Operating Systems,29,7
Operating Systems,27,7
Operating Systems,19,5
Operating Systems,36,9
Operating Systems,32,8
Operating Systems,33,8
Operating Systems,24,6
Operating Systems,29,7
Operating Systems,33,8
Computer Networks,32,9
Computer Networks,25,6
Computer Networks,34,8
Computer Networks,26,7
Computer Networks,25,6
Computer Networks,26,7
Computer Networks,32,8
Computer Networks,23,6
Computer Networks,27,7
Computer Networks,36,9
Computer Networks,22,6
Computer Networks,19,5
Computer Networks,30,7
Computer Networks,24,8
Computer Networks,31,8
Computer Networks,27,7
Computer Networks,29,9
Computer Networks,23,6
Computer Networks,35,9
Computer Networks,26,7
Computer Networks,29,7
Computer Networks,27,7
Computer Networks,20,5
Computer Networks,31,8
Computer Networks,37,9
Computer Networks,36,9
Computer Networks,32,8
Computer Networks,20,5
Computer Networks,22,6
Computer Networks,31,8
Computer Networks,25,6
Computer Networks,23,6
Computer Networks,29,9
Computer Networks,37,9
Computer Networks,28,7
Computer Networks,26,8
Computer Networks,19,4
Computer Networks,22,6
Computer Networks,30,7
Computer Networks,30,7
Computer Networks,32,8
Computer Networks,26,7
Computer Networks,22,8
Computer Networks,26,7
Computer Networks,29,7
Computer Networks,24,6
Computer Networks,19,8
Computer Networks,24,6
Computer Networks,23,6
Computer Networks,34,8
Computer Networks,23,6
Computer Networks,26,7
Computer Networks,25,6
Computer Networks,37,10
Computer Networks,34,8
Computer Networks,32,8
Computer Networks,25,6
Computer Networks,27,9
Computer Networks,31,8
