Subject,Marks,Score
Formal Languages and Automata Theory,33,7
Formal Languages and Automata Theory,32,7
Formal Languages and Automata Theory,32,7
Formal Languages and Automata Theory,36,8
Formal Languages and Automata Theory,31,7
Formal Languages and Automata Theory,34,7
Formal Languages and Automata Theory,31,6
Engineering Economics and Management,37,9
Engineering Economics and Management,35,9
Engineering Economics and Management,35,9
Engineering Economics and Management,38,10
Engineering Economics and Management,35,9
Engineering Economics and Management,26,10
Engineering Economics and Management,25,10
Engineering Economics and Management,26,9
Engineering Economics and Management,23,9
Engineering Economics and Management,38,10
Engineering Economics and Management,36,10
Engineering Economics and Management,23,9
Engineering Economics and Management,37,10
Engineering Economics and Management,37,9
Engineering Economics and Management,38,9
Engineering Economics and Management,38,9
Engineering Economics and Management,27,10
Engineering Economics and Management,38,9
Engineering Economics and Management,36,9
Engineering Economics and Management,36,8
Engineering Economics and Management,34,9
Engineering Economics and Management,37,9
Engineering Economics and Management,37,9
Engineering Economics and Management,27,9
Engineering Economics and Management,38,9
Engineering Economics and Management,37,9
Engineering Economics and Management,38,10
Engineering Economics and Management,37,10
Engineering Economics and Management,39,10
Engineering Economics and Management,27,9
Engineering Economics and Management,38,9
Engineering Economics and Management,38,10
Engineering Economics and Management,38,9
Engineering Economics and Management,38,9
Engineering Economics and Management,27,10
Engineering Economics and Management,38,9
Engineering Economics and Management,37,10
Engineering Economics and Management,36,9
Engineering Economics and Management,39,9
Engineering Economics and Management,37,9
Engineering Economics and Management,37,9
Engineering Economics and Management,38,9
Engineering Economics and Management,26,9
Engineering Economics and Management,26,9
Engineering Economics and Management,28,9
Engineering Economics and Management,38,10
Engineering Economics and Management,38,9
Engineering Economics and Management,38,9
Engineering Economics and Management,38,9
Engineering Economics and Management,32,8
Engineering Economics and Management,38,10
Engineering Economics and Management,24,8
Engineering Economics and Management,34,9
Engineering Economics and Management,27,10
Engineering Economics and Management,26,9
Engineering Economics and Management,26,9
Engineering Economics and Management,27,9
Engineering Economics and Management,38,9
Engineering Economics and Management,38,10
Engineering Economics and Management,38,10
Engineering Economics and Management,21,8
Engineering Economics and Management,36,10
Engineering Economics and Management,39,9
Database Management Systems,35,8
Database Management Systems,36,8
Database Management Systems,32,8
Database Management Systems,33,8
Database Management Systems,34,8
Database Management Systems,34,8
Database Management Systems,37,8
Database Management Systems,29,7
Database Management Systems,21,6
Database Management Systems,34,7
Database Management Systems,37,9
Database Management Systems,35,8
Database Management Systems,29,7
Database Management Systems,37,8
Database Management Systems,35,8
Database Management Systems,32,7
Database Management Systems,24,7
Database Management Systems,37,8
Database Management Systems,33,7
Database Management Systems,36,7
Database Management Systems,33,8
Database Management Systems,36,8
Database Management Systems,35,8
Database Management Systems,30,7
Database Management Systems,35,8
Database Management Systems,30,6
Database Management Systems,35,9
Database Management Systems,36,9
Database Management Systems,36,8
Database Management Systems,31,7
Database Management Systems,29,6
Database Management Systems,31,7
Database Management Systems,35,8
Database Management Systems,36,8
Database Management Systems,35,7
Database Management Systems,36,8
Database Management Systems,34,8
Database Management Systems,36,8
Database Management Systems,35,7
Database Management Systems,36,7
Database Management Systems,31,7
Database Management Systems,37,8
Database Management Systems,30,6
Database Management Systems,35,8
Database Management Systems,35,8
Database Management Systems,34,7
Database Management Systems,35,7
Database Management Systems,36,8
Database Management Systems,36,9
Database Management Systems,30,8
Database Management Systems,33,8
Database Management Systems,32,7
Database Management Systems,34,8
Database Management Systems,36,9
Database Management Systems,34,7
Database Management Systems,29,8
Database Management Systems,34,8
Database Management Systems,36,9
Database Management Systems,34,8
Database Management Systems,36,9
Database Management Systems,25,7
Database Management Systems,34,9
Database Management Systems,35,8
Software Engineering,35,8
Software Engineering,38,9
Software Engineering,39,9
Software Engineering,36,9
Software Engineering,36,8
Software Engineering,36,9
Software Engineering,36,9
Software Engineering,36,8
Software Engineering,36,8
Software Engineering,39,8
Software Engineering,36,9
Software Engineering,36,9
Software Engineering,34,8
Software Engineering,39,9
Software Engineering,35,8
Software Engineering,36,9
Software Engineering,34,9
Software Engineering,39,9
Software Engineering,39,9
Software Engineering,36,8
Software Engineering,37,9
Software Engineering,36,9
Software Engineering,39,9
Software Engineering,35,8
Software Engineering,36,9
Software Engineering,36,8
Software Engineering,36,9
Software Engineering,36,9
Software Engineering,39,9
Software Engineering,35,8
Software Engineering,35,9
Software Engineering,36,8
Software Engineering,39,9
Software Engineering,35,9
Software Engineering,35,9
Software Engineering,36,9
Software Engineering,34,9
Software Engineering,36,9
Software Engineering,36,8
Software Engineering,35,8
Software Engineering,36,8
Software Engineering,36,9
Software Engineering,34,8
Software Engineering,35,9
Software Engineering,36,9
Software Engineering,35,9
Software Engineering,36,8
Software Engineering,39,9
Software Engineering,36,9
Software Engineering,29,7
Software Engineering,36,8
Software Engineering,30,8
Software Engineering,38,9
Software Engineering,35,9
Software Engineering,36,9
Software Engineering,35,9
Software Engineering,36,9
Software Engineering,36,9
Software Engineering,35,9
Software Engineering,39,10
Software Engineering,33,8
Software Engineering,34,9
Software Engineering,36,9
Design and Analysis of Algorithms,34,8
Design and Analysis of Algorithms,35,9
Design and Analysis of Algorithms,36,8
Design and Analysis of Algorithms,36,8
Design and Analysis of Algorithms,32,8
Design and Analysis of Algorithms,33,8
Design and Analysis of Algorithms,32,9
Design and Analysis of Algorithms,30,7
Design and Analysis of Algorithms,23,7
Design and Analysis of Algorithms,33,8
Design and Analysis of Algorithms,36,9
Design and Analysis of Algorithms,33,9
Design and Analysis of Algorithms,28,7
Design and Analysis of Algorithms,35,9
Design and Analysis of Algorithms,34,9
Design and Analysis of Algorithms,32,8
Design and Analysis of Algorithms,30,8
Design and Analysis of Algorithms,33,8
Design and Analysis of Algorithms,35,8
Design and Analysis of Algorithms,32,7
Design and Analysis of Algorithms,31,8
Design and Analysis of Algorithms,34,9
Design and Analysis of Algorithms,37,8
Design and Analysis of Algorithms,31,7
Design and Analysis of Algorithms,35,8
Design and Analysis of Algorithms,31,7
Design and Analysis of Algorithms,37,9
Design and Analysis of Algorithms,37,9
Design and Analysis of Algorithms,37,10
Design and Analysis of Algorithms,33,8
Design and Analysis of Algorithms,34,8
Design and Analysis of Algorithms,30,8
Design and Analysis of Algorithms,37,10
Design and Analysis of Algorithms,36,8
Design and Analysis of Algorithms,34,8
Design and Analysis of Algorithms,34,9
Design and Analysis of Algorithms,34,9
Design and Analysis of Algorithms,35,9
Design and Analysis of Algorithms,35,8
Design and Analysis of Algorithms,34,8
Design and Analysis of Algorithms,35,8
Design and Analysis of Algorithms,35,8
Design and Analysis of Algorithms,31,7
Design and Analysis of Algorithms,36,9
Design and Analysis of Algorithms,35,8
Design and Analysis of Algorithms,35,8
Design and Analysis of Algorithms,35,7
Design and Analysis of Algorithms,35,8
Design and Analysis of Algorithms,31,9
Design and Analysis of Algorithms,20,6
Design and Analysis of Algorithms,37,10
Design and Analysis of Algorithms,32,7
Design and Analysis of Algorithms,35,8
Design and Analysis of Algorithms,35,8
Design and Analysis of Algorithms,35,8
Design and Analysis of Algorithms,29,8
Design and Analysis of Algorithms,35,8
Design and Analysis of Algorithms,35,9
Design and Analysis of Algorithms,37,9
Design and Analysis of Algorithms,39,9
Design and Analysis of Algorithms,22,6
Design and Analysis of Algorithms,34,9
Design and Analysis of Algorithms,36,8
